TimeStamp: 2017-12-06 22:37:30,157 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:38:33,064 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:39:30,800 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:41:04,907 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:42:00,517 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:43:00,382 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:43:30,633 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:44:01,024 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:44:32,311 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:45:33,289 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:46:02,473 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:46:31,795 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:47:02,458 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:48:01,479 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:48:34,934 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:49:01,863 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:50:01,341 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:51:32,962 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:52:03,725 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:53:01,283 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:53:34,592 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:54:02,129 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:54:33,974 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:55:03,645 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:57:33,351 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:58:03,774 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:58:31,773 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:59:05,710 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 22:59:30,144 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:00:00,710 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:00:35,232 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:02:01,048 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:02:33,260 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:03:02,744 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:03:30,153 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:04:30,014 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:05:03,040 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:05:32,526 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:06:00,337 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:06:30,065 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:07:01,124 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:07:32,206 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:08:02,943 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:08:31,016 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:09:02,652 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:09:31,455 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:10:04,492 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:11:00,056 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:11:31,694 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:12:05,911 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:13:04,837 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:13:33,064 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:14:01,970 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:14:30,037 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:15:34,109 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:16:01,580 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:16:35,526 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:17:00,167 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:17:30,020 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:18:31,020 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:19:03,443 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:19:32,333 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:20:33,874 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:21:04,159 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:21:30,729 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:22:00,199 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:22:30,288 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:23:00,235 Active:240 Started:129 Finished:0 
TimeStamp: 2017-12-06 23:23:32,960 Active:240 Started:129 Finished:0 
